Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Face-recognition-voting,Spl_project,CropppingOfImage,components,Long Statement,The length of the statement "Imgproc.rectangle(image`new Point(rect.x`rect.y)`new Point(rect.x + rect.width`rect.y + rect.height)`new Scalar(0`255`0));" is 122.,30
Face-recognition-voting,Spl_project,CropppingOfImage,components,Magic Number,The method contains a magic number: 255,30
Face-recognition-voting,Spl_project,CropppingOfImage,components,Magic Number,The method contains a magic number: 250,30
Face-recognition-voting,Spl_project,CropppingOfImage,components,Magic Number,The method contains a magic number: 250,30
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,Magic Number,The method contains a magic number: 250,9
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,Magic Number,The method contains a magic number: 250,9
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,Magic Number,The method contains a magic number: 100,9
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,Magic Number,The method contains a magic number: 250,9
Face-recognition-voting,Spl_project,FaceSimillarityPercentage,percentage_checking,Magic Number,The method contains a magic number: 250,9
Face-recognition-voting,Spl_project,HistogramEqui,components,Magic Number,The method contains a magic number: 3,22
Face-recognition-voting,Spl_project,HistogramEqui,components,Magic Number,The method contains a magic number: 3,22
Face-recognition-voting,Spl_project,ImageLoad,work,Complex Method,Cyclomatic complexity of the method is 9,56
Face-recognition-voting,Spl_project,ImageLoad,work,Empty catch clause,The method has an empty catch block.,56
Face-recognition-voting,Spl_project,ImageLoad,work,Empty catch clause,The method has an empty catch block.,56
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 8,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 2,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 3,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 4,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 5,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 6,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 7,30
Face-recognition-voting,Spl_project,ImageToPixel,lbp_pixel,Magic Number,The method contains a magic number: 8,30
Face-recognition-voting,Spl_project,ImageToPixel,convertToArrayLocation,Magic Number,The method contains a magic number: 256,55
Face-recognition-voting,Spl_project,ImageToPixel,getpixel,Magic Number,The method contains a magic number: 0xFF,108
Face-recognition-voting,Spl_project,WebcameCapture,web,Magic Number,The method contains a magic number: 640,23
Face-recognition-voting,Spl_project,WebcameCapture,web,Magic Number,The method contains a magic number: 480,23
